SNOW               FFFAFA
GHOSTWHITE         F8F8FF
WHITESMOKE         F5F5F5
GAINSBORO          DCDCDC
FLORALWHITE        FFFAF0
OLDLACE            FDF5E6
LINEN              FAF0E6
ANTIQUEWHITE       FAEBD7
PAPAYAWHIP         FFEFD5
BLANCHEDALMOND     FFEBCD
BISQUE             FFE4C4
PEACHPUFF          FFDAB9
NAVAJOWHITE        FFDEAD
MOCCASIN           FFE4B5
CORNSILK           FFF8DC
IVORY              FFFFF0
LEMONCHIFFON       FFFACD
SEASHELL           FFF5EE
HONEYDEW           F0FFF0
MINTCREAM          F5FFFA
AZURE              F0FFFF
ALICEBLUE          F0F8FF
LAVENDER           E6E6FA
LAVENDERBLUSH      FFF0F5
MISTYROSE          FFE4E1
WHITE              FFFFFF
BLACK              000000
DARKSLATEGRAY      2F4F4F
DIMGREY            696969
SLATEGREY          708090
LIGHTSLATEGRAY     778899
DARKGREY           A9A9A9
GRAY               BEBEBE
LIGHTGRAY          D3D3D3
MIDNIGHTBLUE       191970
NAVYBLUE           000080
CORNFLOWERBLUE     6495ED
DARKSLATEBLUE      483D8B
SLATEBLUE          6A5ACD
MEDIUMSLATEBLUE    7B68EE
LIGHTSLATEBLUE     8470FF
MEDIUMBLUE         0000CD
ROYALBLUE          4169E1
BLUE               0000FF
DODGERBLUE         1E90FF
DEEPSKYBLUE        00BFFF
SKYBLUE            87CEEB
LIGHTSKYBLUE       87CEFA
STEELBLUE          4682B4
LIGHTSTEELBLUE     B0C4DE
LIGHTBLUE          ADD8E6
POWDERBLUE         B0E0E6
PALETURQUOISE      AFEEEE
DARKTURQUOISE      00CED1
MEDIUMTURQUOISE    48D1CC
TURQUOISE          40E0D0
CYAN               00FFFF
LIGHTCYAN          E0FFFF
CADETBLUE          5F9EA0
MEDIUMAQUAMARINE   66CDAA
AQUAMARINE         7FFFD4
DARKGREEN          006400
DARKOLIVEGREEN     556B2F
DARKSEAGREEN       8FBC8F
SEA                2E8B57
MEDIUMSEAGREEN     3CB371
LIGHTSEAGREEN      20B2AA
PALEGREEN          98FB98
LIGHTGREEN         90EE90
SPRINGGREEN        00FF7F
LAWNGREEN          7CFC00
GREEN              00FF00
CHARTREUSE         7FFF00
MEDIUMSPRINGGREEN  00FA9A
GREENYELLOW        ADFF2F
LIMEGREEN          32CD32
YELLOWGREEN        9ACD32
FORESTGREEN        228B22
OLIVEDRAB          6B8E23
DARKKHAKI          BDB76B
PALEGOLDENROD      EEE8AA
LIGHTGOLDENROD     FAFAD2
LIGHTYELLOW        FFFFE0
YELLOW             FFFF00
GOLD               FFD700
LIGHTGOLDENROD     EEDD82
GOLDENROD          DAA520
DARKGOLDENROD      B8860B
ROSYBROWN          BC8F8F
INDIANRED          CD5C5C
SADDLEBROWN        8B4513
SIENNA             A0522D
PERU               CD853F
BURLYWOOD          DEB887
BEIGE              F5F5DC
WHEAT              F5DEB3
SANDYBROWN         F4A460
TAN                D2B48C
CHOCOLATE          D2691E
FIREBRICK          B22222
BROWN              A52A2A
DARKSALMON         E9967A
SALMON             FA8072
LIGHTSALMON        FFA07A
ORANGE             FFA500
DARKORANGE         FF8C00
CORAL              FF7F50
LIGHTCORAL         F08080
TOMATO             FF6347
ORANGERED          FF4500
RED                FF0000
HOTPINK            FF69B4
DEEPPINK           FF1493
PINK               FFC0CB
LIGHTPINK          FFB6C1
PALEVIOLETRED      DB7093
MAROON             B03060
MEDIUMVIOLETRED    C71585
VIOLETRED          D02090
MAGENTA            FF00FF
VIOLET             EE82EE
PLUM               DDA0DD
ORCHID             DA70D6
MEDIUMORCHID       BA55D3
DARKORCHID         9932CC
DARKVIOLET         9400D3
BLUEVIOLET         8A2BE2
PURPLE             A020F0
MEDIUMPURPLE       9370DB
THISTLE            D8BFD8
DARKBLUE           00008B
DARKCYAN           008B8B
DARKMAGENTA        8B008B
DARKRED            8B0000
